Shape,Shape_Type,Area (m2),Depth (m),Width (m),Weight (kg/m),Ix (m4),Iy (m4),Plastic Mod Xp (m3),Plastic Mod Yp (m3),Cost per Meter (usd)
2L5X3X5/16SLBB,2L,0.00048200000000000006,0.07619999999999999,,16.4,1.4310399999999999e-08,1.0774399999999999e-07,2.4272e-06,8.4952e-06,23.78
2L5X3X5/16X3/8SLBB,2L,0.00048200000000000006,0.07619999999999999,,16.4,1.4310399999999999e-08,1.21472e-07,2.4272e-06,9.2332e-06,23.78
2L5X3X5/16X3/4SLBB,2L,0.00048200000000000006,0.07619999999999999,,16.4,1.4310399999999999e-08,1.35616e-07,2.4272e-06,9.9548e-06,23.78
2L5X3X1/4SLBB,2L,0.000388,0.07619999999999999,,13.2,1.1731199999999999e-08,8.527999999999999e-08,1.968e-06,6.7239999999999995e-06,19.14
2L5X3X1/4X3/8SLBB,2L,0.000388,0.07619999999999999,,13.2,1.1731199999999999e-08,9.6096e-08,1.968e-06,7.298e-06,19.14
2L5X3X1/4X3/4SLBB,2L,0.000388,0.07619999999999999,,13.2,1.1731199999999999e-08,1.0732799999999999e-07,1.968e-06,7.872e-06,19.14
2L4X3-1/2X1/2SLBB,2L,0.0007,0.08889999999999999,,23.8,3.13248e-08,8.902399999999999e-08,4.92e-06,8.774e-06,34.51
2L4X3-1/2X1/2X3/8SLBB,2L,0.0007,0.08889999999999999,,23.8,3.13248e-08,1.0399999999999999e-07,4.92e-06,9.7908e-06,34.51
2L4X3-1/2X1/2X3/4SLBB,2L,0.0007,0.08889999999999999,,23.8,3.13248e-08,1.1980799999999998e-07,4.92e-06,1.07912e-05,34.51
2L4X3-1/2X3/8SLBB,2L,0.000536,0.08889999999999999,,18.2,2.4627199999999997e-08,6.656e-08,3.8047999999999996e-06,6.56e-06,26.39
2L4X3-1/2X3/8X3/8SLBB,2L,0.000536,0.08889999999999999,,18.2,2.4627199999999997e-08,7.696e-08,3.8047999999999996e-06,7.2488e-06,26.39
2L4X3-1/2X3/8X3/4SLBB,2L,0.000536,0.08889999999999999,,18.2,2.4627199999999997e-08,8.902399999999999e-08,3.8047999999999996e-06,8.019599999999999e-06,26.39
2L4X3-1/2X5/16SLBB,2L,0.00045000000000000004,0.08889999999999999,,15.4,2.1008e-08,5.5328e-08,3.2144e-06,5.4448e-06,22.33
2L4X3-1/2X5/16X3/8SLBB,2L,0.00045000000000000004,0.08889999999999999,,15.4,2.1008e-08,6.4064e-08,3.2144e-06,6.0352e-06,22.33
2L4X3-1/2X5/16X3/4SLBB,2L,0.00045000000000000004,0.08889999999999999,,15.4,2.1008e-08,7.4048e-08,3.2144e-06,6.6748e-06,22.33
2L4X3-1/2X1/4SLBB,2L,0.000364,0.08889999999999999,,12.4,1.71808e-08,4.368e-08,2.6076000000000002e-06,4.2968e-06,17.98
2L4X3-1/2X1/4X3/8SLBB,2L,0.000364,0.08889999999999999,,12.4,1.71808e-08,5.075199999999999e-08,2.6076000000000002e-06,4.7724e-06,17.98
2L4X3-1/2X1/4X3/4SLBB,2L,0.000364,0.08889999999999999,,12.4,1.71808e-08,5.865599999999999e-08,2.6076000000000002e-06,5.2808e-06,17.98
2L4X3X5/8SLBB,2L,0.0007980000000000001,0.07619999999999999,,27.2,2.3711999999999998e-08,1.1231999999999999e-07,4.3787999999999995e-06,1.1069999999999999e-05,39.44
2L4X3X5/8X3/8SLBB,2L,0.0007980000000000001,0.07619999999999999,,27.2,2.3711999999999998e-08,1.30208e-07,4.3787999999999995e-06,1.22508e-05,39.44
2L4X3X5/8X3/4SLBB,2L,0.0007980000000000001,0.07619999999999999,,27.2,2.3711999999999998e-08,1.50592e-07,4.3787999999999995e-06,1.3562799999999998e-05,39.44
2L4X3X1/2SLBB,2L,0.0006500000000000001,0.07619999999999999,,22.2,1.9926399999999998e-08,8.8608e-08,3.608e-06,8.7248e-06,32.19
2L4X3X1/2X3/8SLBB,2L,0.0006500000000000001,0.07619999999999999,,22.2,1.9926399999999998e-08,1.0275199999999999e-07,3.608e-06,9.676e-06,32.19
2L4X3X1/2X3/4SLBB,2L,0.0006500000000000001,0.07619999999999999,,22.2,1.9926399999999998e-08,1.19392e-07,3.608e-06,1.0758399999999999e-05,32.19
2L4X3X3/8SLBB,2L,0.0004980000000000001,0.07619999999999999,,17.0,1.57664e-08,6.656e-08,2.788e-06,6.56e-06,24.65
